Temperature,Heat_Capacity,Magnetisation,Susceptibility
0.5,3.404082615463236e-05,0.9999997333333335,1.063775770658336e-06
0.5268456375838926,6.434883846597887e-05,0.9999994421399175,2.1831825498723095e-06
0.5536912751677853,0.00013075275117582698,0.9999987527572013,4.598284753738203e-06
0.5805369127516778,0.0002160785983373412,0.9999977155555551,7.898216538659461e-06
0.6073825503355704,0.00027139747521624335,0.9999968582716053,1.0332889007883617e-05
0.6342281879194631,0.0005610292954352377,0.9999929512757202,2.2461222111910113e-05
0.6610738255033557,0.0008043633529799624,0.999989030946502,3.347664791915587e-05
0.6879194630872483,0.0012590813666514176,0.9999812391769548,5.4715966893625244e-05
0.714765100671141,0.0018300130627693478,0.9999709366255147,8.34523940825241e-05
0.7416107382550335,0.002449496732360878,0.9999578424691354,0.00011606587520478731
0.7684563758389262,0.003375113706508893,0.9999379448559674,0.0001655182931390312
0.7953020134228188,0.0044154136139225855,0.9999129809053497,0.00022512831486217253
0.8221476510067114,0.005730095833057443,0.9998792293004114,0.00030111362340474204
0.848993288590604,0.0075979700172855835,0.9998293904526745,0.000417310930882964
0.8758389261744967,0.009420786516897145,0.9997742225514402,0.0005369067090318823
0.9026845637583892,0.011863915855156004,0.999698414814815,0.0007013176842034997
0.9295302013422819,0.014420459890569186,0.9996169596707819,0.0008890668071733378
0.9563758389261745,0.017508537742651077,0.9995007481481482,0.0011144173336966204
0.9832214765100671,0.02114807745902145,0.9993668790123457,0.0013947976596911478
1.0100671140939599,0.02461127965899475,0.9992141626337447,0.001677764921924593
1.0369127516778525,0.029624684612149045,0.9990171524279838,0.0020944827618093876
1.063758389261745,0.03403923238943427,0.9987981761316875,0.0024886555950311296
1.0906040268456376,0.03928985703765242,0.9985449827160492,0.0029728600712548786
1.1174496644295302,0.045758619118718834,0.9982536488888889,0.0035899789953949025
1.1442953020134228,0.05186377798886072,0.9979143125925926,0.004213288938519929
1.1711409395973154,0.0582261741251713,0.9975190531687242,0.004914116880856233
1.197986577181208,0.06678869976062168,0.9970575315226335,0.0058561904541662565
1.2248322147651005,0.07539057573520602,0.9965510376954732,0.0068961198063646435
1.2516778523489933,0.08287980648644144,0.9959813935802473,0.007858697200365356
1.278523489932886,0.0921428709105425,0.9953603820576133,0.009023525605832111
1.3053691275167785,0.10266049986090983,0.9946352266666664,0.010481815185744904
1.3322147651006713,0.11283299717289003,0.9938377339917696,0.011980471322125479
1.3590604026845639,0.12520973072117833,0.9929295563786007,0.013820593979400804
1.3859060402684564,0.1378067273011447,0.9919634730864195,0.015849780157928664
1.412751677852349,0.14946000272913382,0.9908482202469133,0.018040164050926774
1.4395973154362416,0.16360115489473584,0.9896491030452679,0.020631324021110044
1.4664429530201342,0.17953812600506783,0.9883145328395062,0.023969160128689212
1.4932885906040267,0.1912264382399974,0.9868772801646094,0.025989904045291806
1.5201342281879195,0.2082080571793303,0.9853440186008231,0.0295585666182777
1.5469798657718121,0.22313064140732536,0.9836153652674902,0.03312640500115244
1.5738255033557047,0.24071473368100446,0.9816664694650209,0.037810086323156473
1.6006711409395973,0.2598427936695771,0.9796441343209875,0.042997349479568604
1.6275167785234899,0.28128515485286665,0.9773118404938272,0.04869721362363013
1.6543624161073824,0.30087916027801964,0.974806717860082,0.05604752286228655
1.6812080536912752,0.3288754429879766,0.97202992872428,0.06607075923010093
1.7080536912751678,0.34865191410107704,0.9690857766255143,0.07466285333356608
1.7348993288590604,0.37550717267741845,0.9659701604938273,0.08484469078756932
1.761744966442953,0.39875671216289654,0.9624009962139919,0.0968635391600217
1.7885906040268456,0.4287345372844364,0.9583908804938273,0.11546111195910931
1.8154362416107381,0.4611132266038506,0.9542725879835391,0.13119786904869415
1.842281879194631,0.4921739479464799,0.9494770051028807,0.1487512858478474
1.8691275167785235,0.535329950346075,0.9445244859259257,0.18133248277911765
1.895973154362416,0.5609244166934075,0.9389902900411522,0.20508708214320331
1.9228187919463087,0.6033616027241754,0.9325369706995885,0.25101298345600576
1.9496644295302012,0.6416586353596577,0.92570637909465,0.28824937096460634
1.9765100671140938,0.6955708093395206,0.9179175033744856,0.3603677077628418
2.0033557046979866,0.7268156621107241,0.9099337160493826,0.39737862578088645
2.030201342281879,0.7794083764417278,0.9006754197530863,0.4846065079304076
2.057046979865772,0.8659518814390048,0.8886727155555552,0.7270943775933941
2.0838926174496644,0.9112176428887416,0.8773751349794238,0.8154393820494875
2.110738255033557,0.9660081733346956,0.8632840740740744,0.9389788114524688
2.1375838926174495,1.0449759662397902,0.8461597883127574,1.226895335676787
2.1644295302013425,1.1724460877291627,0.820972590288066,2.1018771406118977
2.1912751677852347,1.2385194069967969,0.7940505400823045,2.8082184038117397
2.2181208053691277,1.3733612826572819,0.7475120357201647,5.908263742369931
2.24496644295302,1.4701692003940363,0.6970402131687241,7.409355387000108
2.271812080536913,1.539575972289417,0.6228868156378602,12.16859962951876
2.2986577181208054,1.5891999438361248,0.5345473333333333,19.186045530746313
2.325503355704698,1.446074642893988,0.39105566699588484,23.44563561238592
2.3523489932885906,1.2418295309798613,0.26014016987654326,19.46223807412528
2.379194630872483,1.1374401614482326,0.215981399835391,17.78884257086501
2.4060402684563758,1.0888534379072319,0.17496117613168727,17.373971879907522
2.4328859060402683,1.0308337992752004,0.15300002946502056,13.599640415802664
2.4597315436241614,0.9145789754754899,0.12260774765432099,10.568798244317035
2.4865771812080535,0.8894931524627471,0.11477173251028806,8.92783307952279
2.513422818791946,0.8250321694688487,0.09904609991769545,6.887968037035712
